class,message
1,ดีครับ คุ้มค่าคุ้มราคา น่าจะใช้งานได้ทนทานมือใหม่น่าเอามาใช้ครับ
1,คุณภาพพอใช้ได้  ดูบอบบางจัง ต้องดูระยะการใช้งานระยะยาวค่ะรวม ๆ ถือว่าโอเคค่ะ
1,สินค้าแพคอย่างดี ที่สำคัญส่งขอเร็วมาก คิดว่าจะได้ช้าเสียอีก
1,ส่งของไวมาก แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าวันไหนจะราคาถูก แต่คุ้มแน่นอนค่ะ เลือกซื้ออันนี้ไม่ผิดหวังค่ะ
1,ได้รับของเร็วมาก กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ ชอบมาก
0,เสียดายที่ไว้ใจใช้บริการผิดหวังมาก เอาสินค้าของคุณคือไปเถอะ แล้วคืนเงินให้เรา สั่งของก็บ่อยต่อไปไม่สั่งแล้ว แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
0,แย่มากอย่าสั่งนะ
0,แย่มาก รูปดูสวยหรูดีนะ แต่มาเจอของจริงนี่แย่สุดๆ สินค้าไม่สมกับราคาเลย 
0,แย่มากเสียดายเงิน
0,สินค้ามีรอยตำหนิ เป็นรอยง่าย 
0,สินค้าคุณภาพแย่มาก วัสดุเหมือนหมดอายุแล้ว
0,สินค้าส่งมาแตกหัก ยังไม่ได้ประกอบเลย เสียความรู้สึก
0,ซื้อแล้วผิดหวังสินค้าไม่มีคุณภาพ
0,แย่มาก บิดน้ำไม่แห้ง เสียดายตังมาก
0,ตกใจมาก โคตรแย่ ก่อนหน้านี้ใช้ดี ชอบมาก ปลอดภัยดี ตอนระเบิดมีกลิ่นไหม้กับประกายไฟ ไม่เป็นแผลแต่เป็นดำๆ ที่มือ แสบเล็กน้อย
1,สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้
1,ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี
1,ถูกกว่าในห้างเยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการดีมาก สั่งสินค้ากับลาซาด้าไม่เคยผิดหวังเลยครับ
1,แรงดี หน้าจอใหญ่ ส่งของเร็ว พอใจครับ
1,จอใหญ่มาก คุณภาพเสียง ชัดเจนดีมาก โดยรวมแล้วคุ้มค่ามาก
1,พกพาสะดวก ได้ของเร็ว
1,โอเคมาก เป็นอย่างที่คาดหวังไว้ เยี่ยม
1,ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ
1,ดีมากๆๆคะ ได้เร็ว แพ๊คดี สินค้าสภาพดี ราคาถูก ไม่ต้องไปเดินช๊อปเอง ดีคะ
1,ส่งของรวดเร็วมาก สินค้าใหม่ด้วย โดยรวมให้คะแนนเต็มครับ
0,ไม่พึงพอใจเลย  สินค้าผลิตจากพลาสติกด้อยคุณภาพ  ก๊องแก๊งมาก
0,แพ็คของไม่ดีมากเลยครับข้างในกล่องฉีกขาดไม่สวยเลย
0,คุณภาพสินค้าไม่น่าประทับใจ
0,วัสดุแย่ ขาดง่าย เสียดายเงิน
0,อย่าขายเลย ยกเลิกโปรนี้เถอะ เสียความรู้สึก ดูมาหลายเดือนละ
0,แบตแย่มากค่ะ หมดเร็วมาก รับประกันไม่ได้ชวยอะไรเลย 
0,เห็นแล้วรู้สึกแย่ ไม่มั่นใจในสินค้าร้านนี้
0,คุณภาพแย่มากค่ะ ใช้ครั้งแรกมีกลิ่นไหม้ออกมาเลยแถมข้าวไม่สุกด้วย
0,เสียเวลามากๆ กว่าจะทำเรื่องคืนเงินได้ ของก็ต้องใช้ ต้องไปซื้อใหม่ เสียเงินซ้ำอีก ระบบการทำงานแย่มาก มันเหมือนกันมากเลยหรือ ส่งผิดรุ่นได้
0,หลอกลวง ต้มตุ๋น เอาของปลอมมาขาย ร้านโจร
1,ส่งเร็วทันใช้ตามความต้องการ
1,เนื้อผ้าดีแต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ คุณภาพสมกับราคา
1,ง่ายดีไม่ต้องหาซื้อให้ยุ่งยาก
1,สมราคาค่ะ ภาพชัดเจน เทียบกับยี่ห้ออื่นราคาถูกกว่า
1,สวยมาใช้งานง่ายมากที่สำคัญส่งเร็วมาก
1,เสียงดี ส่งเร็ว ราคานี้คุ้มครับ 
1,ใช้ดียังไม่มีปัญหาอะไรค่ะชอบมาก
1,สเป็คถือว่าโอเครเลยคับ ไหลลื่นดีไม่มีสดุด สมกับราคา และคุ้มค่ามากๆเลย
1,ใช้ดีส่งของไว มากเจ้านี้  วัสดุคุณภาพจริงจริง
1,แพคของเรียบร้อยดีค่ะ ส่งเร็ว ไว้จะสั่งอีกนะคะ☺
0,เกรดต่ำเหมือนกับว่าเอาของถูกๆมาคละกัน
0,สั่งซื้อแล้วอยู่ดีๆมายกเลิก เสียความรู้สึกเลยครับ
0,ไม่เป็นไปตามที่โฆษณา ส่งสินค้าไม่ตรงตามกำหนด เมื่อสินค้ามีปัญหาไม่รับผิดชอบใด 
0,ไม่ซึมซับลูกอับชื้นโฆษณาเกินจริงเสียเงินฟรีไม่คุ้มแย่มาก
0,ไม่มีคู่มือ แย่มากครับ กล่องก็ไม่มี ใส่ถุงมาให้ ทุเรศมากครับ
0,สินค้าไม่ตรงปก ของคุณภาพร้อยกว่าบาท แย่ๆ
0,แย่มากๆสั่งของจ่ายเงิน แต่ไม่ได้ของ!
0,ใช้ได้แป็บเดียวพังแล้ว
0,สินค้าชำรุด ส่งมาถึงแกะดู สินค้าแตก
0,ซื้อมายังไม่ทันเล่นเลยพังซะแล้ว
1,ผ้านิ่ม เด้งๆ ดีกว่าที่คิดไว้ ชอบคะ
1,โอเครค่ะได้สินค้าตามรูปผ้าใส่สบาย
1,เสื้อสวยถูกใจค่ะส่งเร็วทันใจดี
1,คุณภาพเหมาะสมกับราคา ใช้งานOK ต่อดูภาพจากคอมชัดมาก จัดส่งเร็วดี
1,เนื้อผ้าดีมากๆๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาไม่ผิดหวังเลยค่ะ
1,ใช้ดี ราคาไม่แพงเกินค่ะ พอใจมาก
1,ใช้ดีมากค่ะ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว  เราใช้มาตลอดค่ะ สั่งอีกแน่
1,จากการพิสูจน์เป็นหนังแท้ เลือกไม่ผิด งานเย็บละเอียด ชอบครับ 
1,แพ็คสินค้าดี สินค้าคุณภาพ สมราคา แฟนประทับใจครับ
1,ส่งของได้เร็วมาก สินค้าใช้ได้ดีไม่มีปัญหา คุ้ม
0,เสียความรู้สึกค่ะมาไม่ตรงที่สั่ง
0,มันผิดพลาดอะไรหรือลงรูปเพื่อหลอกให้คนสั่งซื้ออธิบายหน่อย
0,สินค้าคุณภาพไม่ค่อยดี
0,สินค้ามีตำหนิ แย่มากๆ ไม่ไหวๆเลย ถ้ามีตำหนิก็บอกด้วยครับ จะได้ทำใจก่อนซื้อ
0,เปราะบางมากความแข็งแรงน้อย มันง่ายต่อการแตกหัก
0,ขนส่งก็ช้าสินค้ามีตำหนิแพ็คสินค้าไม่ดีมีรอยบุบ
0,สินค้าเหมือนของปลอม เนื่อครีมเหมือนซอง 10 บาท บรรจุภัณฑ์เหมือนก๊อปมา ไม่เหมือนของจริงในห้างเลย เสียดายตังค์ ซื้อมาทิ้ง
0,รายการไม่ดี ที่จับไม่ดีและสั้น
0,อ้าว อยากมีเรื่องหรอวะ ไอ้หัวเกรียน!
1,ขอโทษที่รบกวนคะ
1,รักเธอนะ คนดี
0,เหี้ย สัตว์มึงอย่าเสือกดิ
0,ไอ้คนทรยศ แกอย่าหวังว่าจะตายดี
1,ดีใจด้วยนะ คุณหญิงกฤตยา
1,เธอเป็นความภูมิใจที่สุดของฉัน
0,ทปอ. ว่าแต่เขาอิเหนาเป็นเอง ขี้คุยชมัด
1,ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ
0,มือถือค้างอ่ะ เซ็งจัง
1,เอาหมูคุโรบุตะมาทำสเต๊กนี่ กินแล้วฟินขั้นเทพพพพ
0,เกรซไม่เคยเปิดใจให้เรา ไม่รู้เค้ามีอคติไรนักหนา
0,สอบเกือบผ่าน ตกไปแค่ 0.5 คะแนนเอง ถถถถ
1,ทักคับ 😃
1,ยินดีด้วยแนนได้ผู้แทนเลขละ มาสอนข้าน้อยด้วยด่วนๆ5555
0,น่าเสียดายอ่ะน้องแกพลาดประธานตึกไปแค่ 16 แต้ม 😭
1,น่ารักมากมายด์ ตายอย่างสงบศพสีชมพู❤️
0,หลายครั้ง ความรักก็ทำให้เราตาบอดนะ เอิร์น
0,เหม็น หยุดใช้น้ำหอมยี่ห้อนี้ได้มะ เรารู้สึกเหม็นฉุนๆ มากกว่าหอมอ่า._.
1,พระคุณที่สามงดงามแจ่มใส
0,ของเก่าจนเกือบจะใช้ไม่ได้ เหมือนอายุเจ้าของที่ใกล้ลงโลง
1,สบายดีจ้า~
1,5555555555 ขำจังเลย ตลกดี ชอบ
0,เราไม่ชอบเฌอปราง แบบเกลียดขี้หน้านาง
0,แล้วจะให้ฉันทำยังไง แกทำตัวแย่ซะขนาดนี้ ไอ้ลูกทรพี
0,หิวข้าว รู้งี้กินข้าวเที่ยงดีกว่า เรื่องจริงนาจา
1,สวัสดีครับ หมาคุณน่ารักจังเลย มันชื่ออะไรหรอคับ
1,สุดที่รักเธอโทรมาหา ช่วยรับสายหน่อยสิจ้ะ
0,อย่าให้เขาต้องรอนานอย่างนี้เลย ผิดไปแล้ว 🙏
0,รักเธอมากเกินไป จนต้องทุกข์ใจเพราะเธอไม่แคร์ในสายตา
1,ขอให้มีความสุข สุขสันต์วันเกิดนะ คุณย่า 👵
0,กากวะ ไอ้เมากาวสายนู้ป กูไม่เคยได้คะแนนน้อยขนาดมึง
0,ก็แค่พวกชอบนินทาชาวบ้าน
0,ย้ายที่สักทีเถอะ หนูเบื่อยัยไร้ความรู้สึกคนนี้ จนจะทนต่อไปไม่ไหวแล้ว
1,สุขกันเถอะเรา เศร้าไปไม่ได้อะไร ยิ้มเยอะๆเด้ออ
0,ทุกอย่างไม่เที่ยงแท้ สักวันเธอก็ต้องแก่และมีผมขาวขึ้นเหมือนลุง ไมตรี
1,แกเราได้เกรดสี่ เคมีอินทรีย์เว้ยเฮ้ย
0,แววนี่ คนขี้อวด 2018 ส่งเข้าประกวด
1,แต่ก็แววมันมีดีให้อวดอ่ะ หรือว่ามันไม่จริง
0,เอมี่เดินออกจากวงสนทนาเงียบๆ รังเกียจพวกชอบดราม่าเกินเหตุ
0,ครูรุ่งทิวา วาดรูปเมมเบรนของเซลล์เม็ดเลือดได้ห่วยแตก มาก มว๊ากแก
1,กชพรเป็นนักเรียนที่ดี ไม่เคยมาโรงเรียนเลทตั้งแต่เปิดเทอมมา
0,เบื่อพวกชอบอวดแฟนให้กับคนที่เพิ่งอกหักหมาดๆ แบบกูว่ะ เต้
1,สารสื่อประสาทแอซิติลโคลีน ช่วยกระตุ้นให้ความจำดีขึ้นได้ค่ะ
1,สารสื่อประสาทเอนดอร์ฟินจากสมอง ลดความรู้สึกเจ็บปวดลงได้
0,หยุดเถอะ ขอละนะ มันน่ารำคาญ
0,น่าสงสารลูกวัยสี่ขวบ พ่อถูกวิสามัญ แม่ต้องติดคุกตลอดชีวิตเพราะค้ายา
1,กระแสประสาทจึงส่งไปสมองน้อยลง ทำให้สงบไม่วิตกกังวล
0,สาบานเหอะว่าที่แกพูดนะ แกไม่รู้ความหมาย กูไม่เชื่อหรอกโว้ย
1,ขอพระองค์ทรงพระเจริญยิ่งยืนนาน
1,พระองค์ทรงเปี่ยมล้นด้วยทศพิธราชธรรม
1,แต๊งกิ้ว
1,ไม่เป็นไร ขอบคุณที่นึกถึงเรานะพิม
0,อย่าไปเชื่ออิพลอย พลอยแม่งชอบโกหก
0,อยากให้ดูวิดีโอก็ดูไม่ได้
0,ครูลืมสั่งงานน่ะนักเรียน
0,คิดตัวอย่างไม่ออกแล้ว ไม่นะม่ายยยย
0,จะแปบหนึ่งอีกกี่ครั้ง เราทนไม่ไหวแล้วจิงๆ
1,ดีใจด้วยครับ พี่แบม
1,ยินดี เป็นเรื่องที่น่ายินดีมาก
0,ขี้เกียจทำงานชีวะอ่ะ
1,น่ารัก น่ากอด หลานใครเนี่ย
1,เราก้ชอบเทอเหมือนกันจ้าาา ตกลงครัช
0,ฐิตาแม่งเย็นชาที่สุดในสามโลก
1,ไม่ ไม่ปฏิเสธ ขอบคุณสำหรับซูชิหน้าปลาไหลญี่ปุ่นงับ
0,รอรถไฟฟ้าบีทีเอสนานมากๆวันนี้
1,เทอมนี้เรียนได้เกรดสี่ทุกวิชา
0,พราวตาอักเสบ เนื่องจากอุบัติเหตุแสงแฟรชเข้าตาอย่างจัง
1,แก้มเป็นคนดี มีน้ำใจ ตั้งใจเรียนสม่ำเสมอ
0,เธอช่างติและยุยง เพื่อให้คนอื่นแตกคอกันโดยแท้
1,ทำได้แล้ว ดีใจมาก
1,โห สูงขึ้นเยอะเลยนะ น้องเนม
1,น้ำหนักลงสี่โลแล้วอ่อ คอนเกรทค่ะเพื่อน
1,อรุณสวัสดิ์ หัวหินอากาศดีเนอะ
1,สวยจัง พี่เบล
0,แม่เจ้า น้องหมาทำห้องเละอีกหรอ เป็นลมแปบ
1,เป็นงานที่ดูดีมาก ยอดเยี่ยม
0,เราก็อยากจะทำแบบที่แกบอก แต่ตอนนั้นเรายังไม่กล้าพอ
0,แย่ว่ะ มึงคิดถึงจิตใจแฟนมึงด้วยสิ เขาจะรับได้หราว่ะ
1,ขอบคุณแฟนคลับทุกคน ที่ทำให้ผมได้รับรางวัลนี้ครับ
0,เฟิร์นป่วยเป็นโรคไข้เลือดออกอ่ะ ตอนนี้นอนอยู่โรงบาลปิยะเวท
0,เมื่อเช้าวันนี้ไปรษณีย์ราชเทวีไฟไหม้ มีผู้บาดเจ็บสาหัส 2 ราย
1,พี่นารีถูกหวยเลขท้ายสามตัวมา 2 เดือนติดแล้วฮะ แม่
0,เจ้าประคุณฉันไม่เคยเจอใคร ขยันในเรื่องโง่เง่าเต่าตุนได้ดีเท่าเทอเลย
1,ชอบมากครับ พี่ป๊อบตาแหลม น้ำใจงามจริงๆ
1,นาฬิกาเรือนดังกล่าว งดงามเหลือเกิน
1,เคนทำอาหารเก่งตั้งแต่เด็กเชียวแหละ
0,โอ๋มันก็อ้วนมาตั้งแต่ไหนแต่ไรแล้วละ หนูเอ๋ย
0,แล้วไอ้วิน มึงจะให้อีดอกฉายไม่ทำเหี้ยไรเลย ไม่ได้นะเว้ย
1,บ้านเมืองนี้เป็นบ้านที่ดี ดั่งสวนสวรรค์สราญใจ
0,กระจุกกระจิก
0,กระดาน
0,แก่
0,เกรียน
0,เกเร
0,เกิน
0,ขวางโลก
0,ขัดสมาธิ
0,ขุ่น
0,คมคาย
0,กระเซอะกระเซิง
0,เคร่งขรึม
0,เครียด
0,งอ
0,งอแง
0,โง่
0,จังไร
0,จัญไร
0,เจือ
0,เจือจาง
0,ต่ำ
0,ต่ำต้อย
0,ฉูดฉาด
0,ชั่ว
0,ชู้สาว
0,ซวย
0,ซ้ำ
0,ซ้ำซ้อน
0,ซ้ำร้าย
0,เซ่อ
0,ดุดัน
0,ดุร้าย
0,ตกม้าตาย
0,ทราม
0,ทะลุ
0,ทุเรศ
0,เทียม
0,นักเลง
0,ลบ
0,เบื่อ
0,ปรัมปรา
0,เท็จ
0,ตอแหล
0,ตาขาว
0,ฉุนเฉียว
0,เฉโก
0,เฉื่อย
0,ชะงัด
0,ชู้สาว
0,ซวย
0,ซ้ำซ้อน
0,ซ้ำร้าย
0,ซุกซน
0,เซ
0,เซ่อ
0,เซา
0,ดื้อ
0,ดุร้าย
0,เดียรดาษ
0,ตกม้าตาย
0,ตรงข้าม
0,ตระหนี่ถี่เหนียว
0,ตอแหล
0,ตาขาว
0,ต่ำ
0,ต่ำต้อย
0,ติดเชื้อ
0,เตี้ย
0,ถวัล
0,ทรหด
0,ทราม
0,ทะลุ
0,ทื่อ
0,ทุเรศ
0,เท็จ
0,เทียม
0,น้อย
0,นักเลง
0,น่าย
0,บิ่น
0,บุ๋ม
0,เบี่ยง
0,เบื่อ
0,ป้อ
0,ปากเสีย
0,ปากหมา
0,ปาราชิก
0,เป็นลม
0,เปล่าเปลี่ยว
0,เปื่อย
0,แปร่ง
0,ผรุส
0,ผิด
0,ผิดหวัง
0,เผ็ดร้อน
0,เผล
0,แผลง
0,พด
0,พล่าน
0,พิการ
0,พี
0,ฟก
0,เพี้ยน
0,แพง
0,ฟก
0,ฟาง
0,แฟบ
0,มัวหมอง
0,โมเม
0,ยับ
0,ยืด
0,ยุ่งเหยิง
0,โย้
0,รกเรื้อ
0,ร่อแร่
0,รัดกุม
0,ร้าย
0,ร้ายกาจ
0,ริบ
0,รุนแรง
0,รุกรุย
0,รุ่ยร่าย
0,ล้ม
0,ลัก
0,ล้าสมัย
0,ลำบาก
0,ล้ำ
0,เลว
0,โลเล
0,ว่ายาก
0,วิปโยค
0,วิประโยค
0,วิเวก
0,สลัว
0,สวก
0,สวะ
0,สะเหล่อ
0,สั้น
0,สันหลังยาว
0,สับปลับ
0,สัพเพเหระ
0,สิ้นสติ
0,สูญ
0,เสีย
0,เสื่อมโทรม
0,เสื่อมเสีย
0,โสโครก
0,โสมม
0,หงุดหงิด
0,หน้าด้าน
0,หนาว
0,หมองมัว
0,หมิ่น
0,หยาบ
0,หยอก
0,หรี่
0,หลง
0,ห่วย
0,หวิว
0,หวะ
0,หึง
0,หัวสูง
0,เหงา
0,เหม็น
0,เหี้ย
0,เหียก
0,เหี้ยมโหด
0,แหย
0,โหดร้าย
0,โหดเหี้ยม
0,ไหม้
0,อกตัญญู
0,อกแตก
0,อลัชชี
0,อ้วก
0,อ้วน
0,อ๋อง
0,อ่อนเพลีย
0,อื้อฉาว
0,เอน
0,﻿ฆ่า
0,ตัด
0,ข่ม
0,ข่มขืน
0,ขโมย
0,ตาย
0,ตก
0,ล้ม
0,เสียใจ
0,กดดัน
0,กัก
0,กดขี่
0,กักขัง
0,กระชาก
0,กระวนกระวาย
0,กระแทก
0,กระทืบ
0,ก่อกวน
0,ก่อกรรมทำเข็ญ
0,กระทำชำเรา
0,กระทำอนาจาร
0,กระแทกกระทั้น
0,กระตุกหนวดเสือ
0,กระอัก
0,กระหึ่ม
0,กริ่งใจ
0,โกหก
0,กราดเกรี้ยว
0,กวาดล้าง
0,กรรโชก
0,กดราคา
0,ร้องไห้
0,กลัว
0,กลั่นแกล้ง
0,เศร้า
0,ร้องไห้
0,แพง
0,กำเริบ
0,แกว่ง
0,ขัดใจ
0,กล่าวหา
0,ก้าวก่าย
0,กำจัด
0,กังขา
0,กอบโกย
0,กวน
0,กวนตีน
0,กัด
0,กังวล
0,เกร็ง
0,เกรงกลัว
0,เกรงใจ
0,เกลียด
0,เกลื่อน
0,โกหก
0,แก่งแย่ง
0,ข่มขวัญ
0,ข่มขี่
0,ข่มขู่
0,ขวาง
0,ขัดขืน
0,ขัดข้อง
0,ขัดขวาง
0,ร้องเรียน
0,ขัง
0,ขาดแคลน
0,ขาดทุน
0,ขายชาติ
0,ขายขี้หน้า
0,ขายหน้า
0,ขาลง
0,ขี้
0,ขีดฆ่า
0,ขี้โม้
0,ขืน
0,ขืนใจ
0,ขู่
0,ขู่เข็ญ
0,ขูดรีด
0,เขี่ย
0,เขวี้ยง
0,คต
0,คดโกง
0,คดงอ
0,ครอบงำ
0,คลื่นไส้
0,คลาดเคลื่อน
0,คว้าน้ำเหลว
0,คว่ำ
0,คว่ำบาตร
0,คอร์รัปชัน
0,คะนอง
0,คับ
0,คับคั่ง
0,คัด
0,คัดค้าน
0,ค้าง
0,ค้างคา
0,ค้างคาใจ
0,คาใจ
0,คุกเข่า
0,คุ้มเกรง
0,คุมขัง
0,คุมตัว
0,เค้น
0,เคร่ง
0,เคร่งเครียด
0,เคราะห์ซ้ำกรรมซัด
0,เคือง
0,แค้น
0,ใคร่ครวญ
0,ฆ่าแกง
0,ฆาต
0,ฆ่าตัดตอน
0,ฆ่าฟัน
0,ฆ่าไม่ตายขายไม่ขาด
0,ฆ่ายกครัว
0,ฆ่าล้างโคตร
0,เฆี่ยน
0,งง
0,งงงวย
0,งก
0,งด
0,เงี่ยน
0,จน
0,จม
0,จำโซ่
0,จิก
0,จำนำ
0,จิตตก
0,จับกุม
0,จำกัด
0,เจ็บ
0,เจ็บไข้
0,เจ็บใจ
0,ฉ้อ
0,ฉี่
0,ฉีก
0,ชก
0,ชดใช้
0,ช่วงชิง
0,ช็อก
0,ชะงัก
0,ชะลอ
0,ชัก
0,ชักกระตุก
0,ชักใย
0,ชัง
0,ช้ำใจ
0,ชิง
0,ชิงชัง
0,ชิงดีชิงเด่น
0,ชิงนรกเกิด
0,ชิงสุกก่อนห่าม
0,ชิงหมาเกิด
0,ซ่อน
0,ซึม
0,ซึมซาบ
0,ซ้ำเติม
0,ซุก
0,ซุกซ่อน
0,แซว
0,แซะ
0,ไซ้
0,เณรคุณ
0,ด้อย
0,ดัดสันดาน
0,ดับ
0,ด่า
0,ด่าทอ
0,ดิ้น
0,ดื้อ
0,ดุ
0,ดูแคลน
0,ดูถูก
0,ดูหมิ่น
0,ดูหมิ่นถิ่นแคลน
0,เดา
0,เดือด
0,เดือดดาล
0,เดือดร้อน
0,แดก
0,แดกดัน
0,โดน
0,ได้เสีย
0,ตก
0,ตกงาน
0,ตกใจ
0,ตกนรกทั้งเป็น
0,ตกหลุม
0,ตกหลุมพราง
0,ตั้งแง่
0,ตายดาบหน้า
0,ตรม
0,ตบ
0,ตบตา
0,ตราหน้า
0,ต่อต้าน
0,ตอบโต้
0,ต่อย
0,ต่อสู้
0,ตอแหล
0,ตะลุมบอน
0,ตัดขาด
0,ต้าน
0,ตาย
0,ตายด้าน
0,ตาลาย
0,ตำหนิ
0,ติ
0,ติเตียน
0,ติดเชื้อ
0,ติดขัด
0,ตัดพ้อ
0,ตัดพ้อต่อว่า
0,ตี
0,ตีกิน
0,ถอน
0,ถีบ
0,ทรยศ
0,ถึงฆาต
0,ทรุด
0,ท่วม
0,ท้อ
0,ทะลึ่ง
0,ทักท้วง
0,ทุบ
0,ทุบตี
0,เท
0,เทกระจาด
0,แทง
0,แทงใจดำ
0,นอกใจ
0,เนรคุณ
0,บกพร่อง
0,บด
0,บ่น
0,บ่อน
0,บ่อนทำลาย
0,บาด
0,บาดหมาง
0,บานปลาย
0,บิด
0,บิดเบือน
0,เบน
0,เบียด
0,เบียดเบียน
0,เบื่อ
0,เบื่อหน้า
0,โบ้ย
0,ปฏิเสธ
0,ปด
0,ปน
0,ประจาน
0,ประจาร
0,ประชด
0,ประชดประชัน
0,ประณาม
0,ประท้วง
0,ประมาท
0,ปรับ
0,ปราบ
0,ปราบปราม
0,ปลงใจ
0,ป่วย
0,ปลงชีวิต
0,ปลง
0,ปล้น
0,ปล้นสะดม
0,ปลอม
0,ปรำ
0,ปวด
0,ปลอมปน
0,ปะทะ
0,ปะปน
0,ปาด
0,เป็นลม
0,เปลือง
0,โป๊
0,ผลัก
0,ผัด
0,ผัดวันประกันพรุ่ง
0,ผ่า
0,เผ่น
0,ลืม
0,หลบหนี
0,ความขมขื่น
0,ความขมุกขมัว
0,ความขุ่นเคือง
0,ความข้องใจ
0,ความฉิบหาย
0,ความชั่วช้า
0,ความซ้ำซ้อน
0,ความดื้อ
0,ความทรุดโทรม
0,ฟุ่มเฟือย
0,ฟุ้งเฟ้อ
0,กระจุกกระจิก
0,กระดาน
0,แก่
0,เกรียน
0,คลุมเครือ
0,คลุมถุงชน
0,เกเร
0,เกิน
0,ช้า
0,วิกฤติ
0,เจ็บปวด
0,ความลึกลับ
0,เผด็จการ
0,ขัดแย้ง
0,องควิการ
0,รังเกียจ
0,อกหัก
0,ไร้สาระ
0,คงขาด
0,คบชู้
0,ครหา
0,คบชู้สู่ชาย
0,กำกวม
0,มืด
0,ฮือ
0,ลึกลับ
0,กลุ้มใจ
0,น่ากลัว
0,เกียจคร้าน
0,ขวางโลก
0,เศร้าใจ
0,ไม่มีทางรักษา
0,สิ้นหวัง
0,ไร้ผล
0,อัมพาต
0,เศร้าซึม
0,สลดใจ
0,ท้อแท้
0,น่าเบื่อ
0,กระสับกระส่าย
0,ขัดสมาธิ
0,ขุ่น
0,คมคาย
0,กระเซอะกระเซิง
0,เคร่งขรึม
0,คระหาย
0,กระหาย
0,คระเมิม
0,เครียด
0,คบไม่ได้
0,งอ
0,งอแง
0,โง่
0,จังไร
0,ไม่สน
0,จัญไร
0,เจือ
0,เจือจาง
0,ต่ำ
0,ต่ำต้อย
0,ฉูดฉาด
0,ชั่ว
0,ชู้สาว
0,ซวย
0,ซ้ำ
0,ซ้ำซ้อน
0,ซ้ำร้าย
0,เซ่อ
0,ดุดัน
0,ดุร้าย
0,ตกม้าตาย
0,ทราม
0,ทะลุ
0,ทุเรศ
0,เทียม
0,นักเลง
0,ลบ
0,เบื่อ
0,ปรัมปรา
0,เท็จ
0,ตอแหล
0,ตาขาว
0,ฉุนเฉียว
0,เฉโก
0,เฉื่อย
0,ชะงัด
0,ชู้สาว
0,ซวย
0,ซ้ำซ้อน
0,ซ้ำร้าย
0,ซุกซน
0,เซ
0,เซ่อ
0,เซา
0,ดื้อ
0,ดุร้าย
0,เดียรดาษ
0,ตกม้าตาย
0,ตรงข้าม
0,ตระหนี่ถี่เหนียว
0,ตอแหล
0,ตาขาว
0,ต่ำ
0,ต่ำต้อย
0,ติดเชื้อ
0,เตี้ย
0,ถวัล
0,ทรหด
0,ทราม
0,ทะลุ
0,ทื่อ
0,ทุเรศ
0,เท็จ
0,เทียม
0,น้อย
0,นักเลง
0,น่าย
0,บิ่น
0,บุ๋ม
0,เบี่ยง
0,เบื่อ
0,ป้อ
0,ปากเสีย
0,ปากหมา
0,ปาราชิก
0,เป็นลม
0,เปล่าเปลี่ยว
0,เปื่อย
0,แปร่ง
0,ผรุส
0,ผิด
0,ผิดหวัง
0,เผ็ดร้อน
0,เผล
0,แผลง
0,พด
0,พล่าน
0,พิการ
0,พี
0,ฟก
0,เพี้ยน
0,แพง
0,ฟก
0,ฟาง
0,แฟบ
0,มัวหมอง
0,โมเม
0,ยับ
0,ยืด
0,ยุ่งเหยิง
0,โย้
0,รกเรื้อ
0,ร่อแร่
0,รัดกุม
0,ร้าย
0,ร้ายกาจ
0,ริบ
0,รุนแรง
0,รุกรุย
0,รุ่ยร่าย
0,ล้ม
0,ลัก
0,ล้าสมัย
0,ลำบาก
0,ล้ำ
0,เลว
0,โลเล
0,ยาก
0,ว่ายาก
0,วิปโยค
0,วิประโยค
0,วิเวก
0,สลัว
0,สวก
0,สวะ
0,สะเหล่อ
0,สั้น
0,สันหลังยาว
0,สับปลับ
0,สัพเพเหระ
0,สิ้นสติ
0,สูญ
0,โทรม
0,เสีย
0,เสื่อมโทรม
0,เสื่อมเสีย
0,โสโครก
0,โสมม
0,หงุดหงิด
0,หน้าด้าน
0,หนาว
0,หมองมัว
0,หมิ่น
0,หยาบ
0,หยอก
0,หรี่
0,หลง
0,ห่วย
0,หวิว
0,หวะ
0,หึง
0,หัวสูง
0,เหงา
0,เหม็น
0,ไม่เชื่อ
0,เหี้ย
0,บรรลัย
0,เหียก
0,เหี้ยมโหด
0,แหย
0,โหดร้าย
0,ทำสงคราม
0,ทำอันตราย
0,ทำเป็นทองไม่รู้ร้อน
0,ทำเป็นเล่น
0,ทำเล่นๆ
0,ทำโดยพลการ
0,ทำเอาเจ็บ
0,ทิ้งขว้าง
0,ทิ้งๆ ขว้างๆ
